,ID,Platform,Name,Description,Keywords,Licenses,Repository URL,Versions Count,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Name with Owner,Repository Description,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host,Homepage URL,Homepage Domain,Binding Host Normalized,Binding Host Normalized - No Space,Host Repo IDs,is official,Type
205769,3657268,PyPI,pyramid-jinja2,Jinja2 template bindings for the Pyramid web framework,web wsgi pylons pyramid jinja2,Other,https://github.com/Pylons/pyramid_jinja2,37,7,,19,371170,GitHub,Pylons/pyramid_jinja2,Jinja2 templating system bindings for the Pyramid web framework,False,69.0,Other,,,Pyramid,https://github.com/Pylons/pyramid_jinja2,github,pyramid,pyramid,['10568701'],community,Binding
205811,3657824,npm,meinenghua-ui-sdk,minerva ui sdk,"minerva,ui,sdk,token",ISC,https://github.com/minerva/minerva-ui-sdk,1,0,,0,,,,,,,,,,minerva,https://github.com/minerva/minerva-ui-sdk,github,minerva,minerva,"['757813', '30438143']",community,Binding
205813,3657833,npm,minerva-ui-sdk,"minerva ui sdk, currently only jwt authentication","minerva,ui,sdk,token",ISC,https://github.com/minerva/minerva-ui-sdk,5,0,,0,,,,,,,,,,minerva,https://github.com/minerva/minerva-ui-sdk,github,minerva,minerva,"['757813', '30438143']",community,Binding
205947,3659882,Maven,com.rte-france.powsybl:powsybl-adn-api,An API to describe the ADN network model,,,,4,0,,0,,,,,,,,,,ADN,,,adn,adn,['41097507'],community,Binding
205972,3661404,Cargo,crypto-simd,Crypto-oriented SIMD wrapper abstracting over multiple backends,"simd,crypto","MIT,Apache-2.0",https://github.com/cryptocorrosion/cryptocorrosion,2,5,,1,37870760,GitHub,cryptocorrosion/cryptocorrosion,Performance crypto in pure Rust,False,8.0,,,"cipher,crypto,cryptography,hash,rust",SIMD,,,simd,simd,['3406299'],community,Binding
205990,3664824,npm,gamepad-webcomponent,An implementation of the GamepadAPI with WebComponent & Lit-Element.,"polymer,gamepad,webcomponent,lit-element",MIT,https://github.com/louis-bompart/gamepad-webcomponent,1,0,,0,37890181,GitHub,louis-bompart/gamepad-webcomponent,An implementation of the GamepadAPI with WebComponent & Lit-Element.,False,0.0,MIT,,,Gamepad,https://github.com/louis-bompart/gamepad-webcomponent,github,gamepad,gamepad,['38470828'],community,Binding
206026,3666612,npm,@elunic/logger,"A simple wrapper around winston which logs to console as well as multiple files, with child namespaces.","logger,logging,log,logs,elunic",MIT,https://github.com/elunic/node-logger,19,1,,0,37893535,GitHub,elunic/node-logger,,False,0.0,MIT,,,winston,https://github.com/elunic/node-logger,github,winston,winston,['72007'],community,Binding
206028,3666661,npm,@dealerslink/node-winston-logger,A wrapper for npm module Winston,,,,8,0,,0,,,,,,,,,,Winston,,,winston,winston,['72007'],community,Binding
206067,3667514,npm,@dirt/lib,dirt lib,,ISC,,7,0,,0,,,,,,,,,,dirt,,,dirt,dirt,['37102040'],community,Binding
206071,3667568,npm,@zulus/logger,Wrapper around winston module,"logger,winston",MIT,https://gitlab.com/ZulusK/nodejs-logger,1,0,,0,37885143,GitLab,ZulusK/nodejs-logger,,False,0.0,,,,winston,https://gitlab.com/ZulusK/nodejs-logger,gitlab,winston,winston,['72007'],community,Binding
206219,3669679,npm,winston-node-sentry,Sentry transport for winston 3.0.0+,"sentry,winston,transport,typescript,standard",MIT,https://github.com/Its-Alex/winston-sentry,16,0,,0,37905944,GitHub,Its-Alex/winston-node-sentry,Sentry transport for winston 3.0.0,False,8.0,MIT,,"nodejs,sentry,transport,winston",winston,https://github.com/Its-Alex/winston-sentry,github,winston,winston,['72007'],community,Binding
206232,3669800,npm,siajs-lib,A library to interface with the Sia daemon,,MIT,https://github.com/eddiewang/siajs-lib,2,1,,0,37901507,GitHub,eddiewang/siajs-lib,A Typescript library to interface with the Sia daemon,False,0.0,MIT,,,Sia,https://github.com/eddiewang/siajs-lib,github,sia,sia,['16694501'],community,Binding
206318,3670607,Packagist,cruxoft/bolt-json,JSON wrapper library built on the Bolt Framework,"json,bolt",Apache-2.0,https://github.com/irwtdvoys/bolt-json,4,2,,3,35091590,GitHub,irwtdvoys/bolt-json,JSON wrapper library built using the Bolt Framework,False,0.0,Apache-2.0,,,Bolt,,,bolt,bolt,"['19562400', '40784040']",community,Binding
206411,3671836,npm,flowcl-node-api-client,Cliente Node (No oficial) para consumir el API de Flow.,,MIT,,9,0,,0,,,,,,,,,,Flow,,,flow,flow,"['12755978', '29309986']",community,Binding
206459,3672363,NuGet,Toolbelt.Blazor.Gamepad,gamepad API access for your Blazor apps.,"gamepad,blazor",MPL-2.0,https://github.com/jsakamoto/Toolbelt.Blazor.Gamepad,5,0,,1,37933439,GitHub,jsakamoto/Toolbelt.Blazor.Gamepad,gamepad API access for your Blazor apps.,False,4.0,MPL-2.0,,"blazor,blazor-extensions,gamepad,gamepad-api",gamepad,https://github.com/jsakamoto/Toolbelt.Blazor.Gamepad/,github,gamepad,gamepad,['38470828'],community,Binding
206815,3676353,npm,@lengoo/logger,Small winston wrapper tailored to lengoo needs,logger,MIT,https://github.com/lengoo/logger,8,0,,0,37790828,GitHub,lengoo/logger,Small winston wrapper tailored to the company needs,False,0.0,,,,winston,https://github.com/lengoo/logger,github,winston,winston,['72007'],community,Binding
206862,3676983,npm,@acpaas-ui-widgets/nodejs-chatbot,Chatbot Smart Widget BFF package (Node),,MIT,https://github.com/digipolisantwerp/chatbot_service_nodejs,3,0,,0,39258822,GitHub,digipolisantwerp/chatbot_service_nodejs,ACPaaS UI Chatbot Widget BFF (Node),False,1.0,MIT,,,Chatbot,https://github.com/digipolisantwerp/chatbot_service_nodejs,github,chatbot,chatbot,"['3977012', '15262198', '19073790', '25241511', '31772349']",community,Binding
206866,3677005,npm,@trifinlabs/ramp-api-worker,ramp-api-worker,,Other,,1,0,,0,,,,,,,,,,ramp,,,ramp,ramp,['292763'],community,Binding
206909,3677359,npm,@trifinlabs/ramp-api,ramp-api,,Other,,2,1,,0,,,,,,,,,,ramp,,,ramp,ramp,['292763'],community,Binding
207025,3678597,NuGet,HieSdaHttpClient,Http client to fetch SDA,,,,2,0,,0,,,,,,,,,,SDA,,,sda,sda,['22736561'],community,Binding
207033,3678644,npm,ngx-hal,Angular library for supporting HAL format APIs,"angular,hal,model,store",MIT,https://github.com/infinum/ngx-hal,80,0,,0,38211369,GitHub,infinum/ngx-hal,Angular datastore library with HAL support,False,4.0,MIT,,"angular,hal",HAL,https://github.com/infinum/ngx-hal,github,hal,hal,['4824482'],community,Binding
207195,3681035,npm,reconstate,React store built on top of the new context API,,ISC,https://github.com/vinpro24/reconstate,5,0,,0,,,,,,,,,,context,https://github.com/vinpro24/reconstate,github,context,context,['26252700'],community,Binding
207205,3681133,npm,flow-insert-object-component,Component to insert objects into CB for use with the Flow SDK,cloudboost,Apache-2.0,https://github.com/FlowAppPlatform/flow-insert-object-component,5,1,,0,38002466,GitHub,FlowAppPlatform/flow-insert-object-component,This component is used to insert new objects in the table. ,False,0.0,Apache-2.0,,,Flow,https://github.com/FlowAppPlatform/flow-insert-object-component,github,flow,flow,"['12755978', '29309986']",community,Binding
207398,3683398,npm,touchbar-electron-renderer,A React renderer for building declarative touchbar interfaces for Electron in Mac OSX.,"react,react-renderer,electron,touchbar,macosx",MIT,https://github.com/victorhqc/touchbar-electron-renderer,9,0,,0,38032255,GitHub,victorhqc/touchbar-electron-renderer,A React renderer for building declarative touchbar interfaces for Electron in Mac OSX.,False,2.0,MIT,,,Electron,https://github.com/victorhqc/touchbar-electron-renderer,github,electron,electron,['25543319'],community,Binding
207661,3687266,Clojars,tech/lib.opencv,opencv wrapper for tech,,,,3,0,,0,,,,,,,,,,opencv,,,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
207674,3687419,CocoaPods,MarsSDKFramework,MarsSDKFramework for cocoaPods,,MIT,https://gitee.com/bailing_sdk/MarsSDKFramework.git,1,0,,0,,,,,,,,,,Mars,https://gitee.com/bailing_sdk/MarsSDKFramework,gitee,mars,mars,['37505128'],community,Binding
207872,3689556,npm,@maya-design/react-waterfall,React store built on top of [the new context API](https://reactjs.org/docs/context.html),"react,redux,context,store",MIT,https://github.com/didierfranc/react-waterfall,2,0,,0,33161759,GitHub,didierfranc/react-waterfall,React store built on top of the new context API,False,1271.0,MIT,,"context,flux,javascript,reactjs,redux",context,https://github.com/didierfranc/react-waterfall,github,context,context,['26252700'],community,Binding
208060,3691610,npm,rasa-api,"Implementation of rasa api, provides methods to easily manage your rasa app","rasa,api,nlp,rasa-api,ai,bot,chatbot,ES6",BSD-4-Clause,https://github.com/Hexastack/rasa-api,1,0,,0,38080107,GitHub,Hexastack/rasa-api,rasa-api is a node package that allows you to easily configure and train your NLP through Rasa HTTP API.,False,1.0,Other,,,rasa,https://github.com/Hexastack/rasa-api,github,rasa,rasa,['15766571'],community,Binding
208103,3692043,Rubygems,thor_repl,Create a REPL for any Thor CLI,,MIT,https://github.com/mikfreedman/thor_repl,4,1,,3,38081218,GitHub,mikfreedman/thor_repl,,False,0.0,MIT,,,Thor,https://github.com/mikfreedman/thor_repl,github,thor,thor,['39750588'],community,Binding
208113,3692141,PyPI,flask-opencv-streamer,"A Python package for easily streaming OpenCV footage, even with authentication",,GPL-3.0-only,https://github.com/oitsjustjose/Flask-OpenCV-Streamer,4,0,,1,38081439,GitHub,oitsjustjose/Flask-OpenCV-Streamer,"A Python package for easily streaming OpenCV footage, even with authentication",False,0.0,GPL-3.0,,,OpenCV,https://github.com/oitsjustjose/Flask-OpenCV-Streamer,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
208118,3692187,npm,umap-js,JavaScript implementation of UMAP,,MIT,https://github.com/PAIR-code/umap-js,10,0,,0,38081591,GitHub,PAIR-code/umap-js,JavaScript implementation of UMAP,False,60.0,Apache-2.0,,"dimensionality-reduction,javascript,umap",UMAP,https://github.com/PAIR-code/umap-js,github,umap,umap,['25906654'],community,Binding
208255,3693468,PyPI,scikit-surgeryopencvcpp,"Image-guided surgery functions, in C++, using OpenCV and wrapped in Python.",C++ cmake catch project template,DSDP,,9,0,,0,,,,,,,,,,OpenCV,,,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
208301,3693912,Packagist,axiom/rivescript,"RiveScript interpreter library for PHP with Laravel support. RiveScript is a scripting language for chatterbots, making it easy to write trigger/response pairs for building up a bot's intelligence.","bot,ai,chatterbot,rivescript,axiom",MIT,https://github.com/axiom-labs/rivescript-php,7,0,,0,4155815,GitHub,axiom-labs/rivescript-php,:white_circle: A RiveScript interpreter for PHP. RiveScript is a scripting language for chatterbots.,False,17.0,MIT,,,RiveScript,http://www.rivescript.com,rivescript,rivescript,rivescript,['17777447'],community,Binding
208312,3694069,NuGet,VL.DBSCAN,VL implementation of viceroypenguin's DBSCAN .net library,"dbscan,density,tracking,cluster,vl",,https://github.com/sebescudie/VL.DBSCAN,6,0,,0,38086828,GitHub,sebescudie/VL.DBSCAN,DBSCAN algorithm for VL,False,1.0,,,"cluster,dbscan,vl,vvvv",DBSCAN,https://github.com/sebescudie/VL.DBSCAN,github,dbscan,dbscan,"['9476232', '27378703']",community,Binding
208353,3695086,PyPI,altair-latimes,A Los Angeles Times theme for Python's Altair statistical visualization library,,MIT,https://github.com/datadesk/altair-latimes,1,0,,0,38091214,GitHub,datadesk/altair-latimes,A Los Angeles Times theme for Python's Altair statistical visualization library,False,0.0,MIT,,"altair,data-journalism,data-visualization,journalism,jupyter-notebook,news,python",Altair,http://www.github.com/datadesk/altair-latimes/,github,altair,altair,['20758794'],community,Binding
208432,3695882,npm,react-native-chatbot-sdk,React Native ChatbotSDK,react-native,MIT,,2,0,,0,,,,,,,,,,Chatbot,https://incontext.ai,incontext,chatbot,chatbot,"['3977012', '15262198', '19073790', '25241511', '31772349']",community,Binding
208465,3696293,Maven,io.neow3j:utils,,,Apache-2.0,https://github.com/neow3j/neow3j,4,0,,0,37669650,GitHub,neow3j/neow3j,Java and Android library to interact with NEO blockchain,False,39.0,Apache-2.0,,,NEO,https://github.com/neow3j,github,neo,neo,"['26503605', '37152171']",community,Binding
208518,3696824,npm,sia-typescript,A library to interface with the Sia daemon,,MIT,https://gitlab.com/NebulousLabs/sia-typescript,9,0,,0,39528975,GitLab,NebulousLabs/sia-typescript,,False,0.0,,,,Sia,https://gitlab.com/NebulousLabs/sia-typescript,gitlab,sia,sia,['16694501'],community,Binding
208679,3698635,PyPI,sqlflow,SQLFlow client library for Python.,,Apache-2.0,https://github.com/sql-machine-learning/sqlflow,13,0,,0,38520927,GitHub,sql-machine-learning/sqlflow,Brings SQL and AI together.,False,3458.0,Apache-2.0,,"ai,databases,deep-learning,machine-learning,sql-syntax,sqlflow,transpiler",SQLFlow,https://github.com/sql-machine-learning/sqlflow,github,sqlflow,sqlflow,"['38520927', '39011631']",same_repo,Binding
208689,3698754,Clojars,tech/lib.xgboost,xgboost wrapper for tech,,,,2,0,,0,,,,,,,,,,xgboost,,,xgboost,xgboost,['339654'],community,Binding
208904,3700991,npm,@deg-skeletor/orko,The scaffolding tool for the Skeletor UI build tool ecosystem,"orko,skeletor,DEG,scaffolding,ui,build,tools",ISC,https://github.com/deg-skeletor/orko,8,1,,1,38110721,GitHub,deg-skeletor/orko,The scaffolding tool for the Skeletor UI build tool ecosystem,False,0.0,,,,Skeletor,https://github.com/deg-skeletor/orko,github,skeletor,skeletor,['36813293'],community,Binding
209041,3702679,Cargo,tch,Rust wrappers for the PyTorch C++ api (libtorch).,"machine-learning,deep-learning,pytorch","MIT,Apache-2.0",https://github.com/LaurentMazare/tch-rs,12,0,,1,38113379,GitHub,LaurentMazare/tch-rs,Rust bindings for PyTorch,False,394.0,Other,,"deep-learning,machine-learning,neural-network,pytorch,rust",PyTorch,,,pytorch,pytorch,['18883757'],community,Binding
209111,3703463,PyPI,streaming-anomaly-detection,A pure python implementation of https://github.com/twitter/AnomalyDetection,,,,1,0,,0,,,,,,,,,,AnomalyDetection,,,anomalydetection,anomalydetection,"['36511641', '40722542']",community,Binding
209157,3703876,PyPI,pyVIP,Python API for VIP (Virtualitics Immersive Platform),,MIT,,3,0,,0,,,,,,,,,,VIP,,,vip,vip,['39984402'],community,Binding
209178,3704291,Rubygems,rumale,"Rumale is a machine learning library in Ruby. Rumale provides machine learning algorithms with interfaces similar to Scikit-Learn in Python. Rumale supports Support Vector Machine, Logistic Regression, Ridge, Lasso, Factorization Machine, Multi-layer Perceptron, Naive Bayes, Decision Tree, Gradient Tree Boosting, Random Forest, K-Means, Gaussian Mixture Model, DBSCAN, Spectral Clustering, Mutidimensional Scaling, t-SNE, Principal Component Analysis, Non-negative Matrix Factorization, and many other algorithms. ",,BSD-2-Clause,https://github.com/yoshoku/rumale,38,3,,2,29142799,GitHub,yoshoku/rumale,Rumale is a machine learning library in Ruby,False,403.0,BSD-2-Clause,,"artificial-intelligence,data-analysis,data-science,machine-learning,ruby,rubyml",Rumale,https://github.com/yoshoku/rumale,github,rumale,rumale,['29142799'],same_repo,Binding
209263,3705207,PyPI,pynanocurrency,Python library for working with the NANO cryptocurrency protocol,,CC0-1.0,https://github.com/Matoking/pynanocurrency,1,0,,0,38119499,GitHub,Matoking/nanolib,Python library for working with the NANO cryptocurrency protocol,False,28.0,CC0-1.0,,"nanocurrency,python,python3",NANO,https://github.com/Matoking/pynanocurrency,github,nano,nano,['3204475'],community,Binding
209346,3706486,Cargo,torch-sys,Low-level FFI bindings for the PyTorch C++ api (libtorch).,"ffi,machine-learning,deep-learning,pytorch","MIT,Apache-2.0",https://github.com/LaurentMazare/tch-rs,11,1,,1,38113379,GitHub,LaurentMazare/tch-rs,Rust bindings for PyTorch,False,394.0,Other,,"deep-learning,machine-learning,neural-network,pytorch,rust",PyTorch,,,pytorch,pytorch,['18883757'],community,Binding
209356,3706546,PyPI,anna-client,anna API client,,,https://github.com/patrikpihlstrom/anna-client,11,4,,1,39176018,GitHub,patrikpihlstrom/anna-client,,False,0.0,,,,anna,https://github.com/patrikpihlstrom/anna-client,github,anna,anna,['2962083'],community,Binding
209417,3707144,PyPI,anna-api,anna api,,,https://github.com/patrikpihlstrom/anna-api,2,0,,0,38125610,GitHub,patrikpihlstrom/anna-api,Anna RESTful API,False,0.0,,,,anna,https://github.com/patrikpihlstrom/anna-api,github,anna,anna,['2962083'],community,Binding
209436,3707320,Cargo,libnet-rs,A quick binding of libnet for Rust,,CNRI-Python-GPL-Compatible,https://github.com/Gu1nness/libnet-rs,4,0,,0,38126293,GitHub,Gu1nness/libnet-sys,A quick binding of libnet for Rust,False,0.0,GPL-3.0,,,libnet,https://github.com/Gu1nness/libnet-rs,github,libnet,libnet,['27234959'],community,Binding
209469,3707699,NuGet,SiaNet.Backend.TensorFlowLib,TensorFlow backend for SiaNet library. Please install SiaNet along with this backend.,"TensorFlow,Backend,SiaNet,CSharp,Deep,learning,neural,network,artificial,intelligence",MIT,https://github.com/deepakkumar1984/SiaNet,6,0,,0,30053255,GitHub,deepakkumar1984/SiaNet,"A C# deep learning library, human friendly, CUDA/OpenCL supported, well structured, easy to extend",False,174.0,MIT,,"artificial-intelligence,cognitive-services,deep-learning,deep-neural-network,image-classification,image-processing,machine-learning,neural-network,object-detection",SiaNet,https://github.com/deepakkumar1984/SiaNet,github,sianet,sianet,['30053255'],same_repo,Binding
209470,3707700,NuGet,SiaNet.Backend.ArrayFire,ArrayFire backend for SiaNet library. Please install SiaNet along with this backend.,"Backend,CSharp,SiaNet,Deep,learning,neural,network,intelligence,artificial,ArrayFire",MIT,https://github.com/deepakkumar1984/SiaNet,6,0,,0,30053255,GitHub,deepakkumar1984/SiaNet,"A C# deep learning library, human friendly, CUDA/OpenCL supported, well structured, easy to extend",False,174.0,MIT,,"artificial-intelligence,cognitive-services,deep-learning,deep-neural-network,image-classification,image-processing,machine-learning,neural-network,object-detection",SiaNet,https://github.com/deepakkumar1984/SiaNet,github,sianet,sianet,['30053255'],same_repo,Binding
209471,3707704,NuGet,SiaNet.Backend.CNTKCpuOnly,CNTK CPU Only backend for SiaNet library. Please install SiaNet along with this backend.,"Backend,SiaNet,CNTK,Deep,CSharp,neural,learning,network,intelligence,artificial",MIT,https://github.com/deepakkumar1984/SiaNet,6,0,,0,30053255,GitHub,deepakkumar1984/SiaNet,"A C# deep learning library, human friendly, CUDA/OpenCL supported, well structured, easy to extend",False,174.0,MIT,,"artificial-intelligence,cognitive-services,deep-learning,deep-neural-network,image-classification,image-processing,machine-learning,neural-network,object-detection",SiaNet,https://github.com/deepakkumar1984/SiaNet,github,sianet,sianet,['30053255'],same_repo,Binding
209472,3707708,NuGet,SiaNet.Backend.CNTKLib,CNTK backend for SiaNet library. Please install SiaNet along with this backend.,"CNTK,SiaNet,Backend,CSharp,Deep,learning,network,neural,intelligence,artificial",MIT,https://github.com/deepakkumar1984/SiaNet,6,0,,0,30053255,GitHub,deepakkumar1984/SiaNet,"A C# deep learning library, human friendly, CUDA/OpenCL supported, well structured, easy to extend",False,174.0,MIT,,"artificial-intelligence,cognitive-services,deep-learning,deep-neural-network,image-classification,image-processing,machine-learning,neural-network,object-detection",SiaNet,https://github.com/deepakkumar1984/SiaNet,github,sianet,sianet,['30053255'],same_repo,Binding
209790,3710995,NuGet,Fonlow.Web.MetaTransformCore,Translate ApiDescription to my own Web API description,,MIT,https://github.com/zijianhuang/webapiclientgen,3,0,,0,22907432,GitHub,zijianhuang/webapiclientgen,Strongly Typed Client API Generators generate strongly typed client APIs in C# .NET and  in TypeScript for jQuery and Angular 2+ from ASP.NET Web API and .NET Core Web API,False,88.0,MIT,,"ajax,android,angular,angular2,angular4,asp-net,codedom,jquery,restful,typescript,typescript-codedom,webapi,xamarin",Translate,https://github.com/zijianhuang/webapiclientgen,github,translate,translate,['35774700'],community,Binding
210001,3713307,npm,@anna-ui/icon,Icon component for Anna UI Kit,,ISC,https://gitlab.com/anna-ui/icon,8,0,,0,,,,,,,,,,Anna,https://gitlab.com/anna-ui/icon,gitlab,anna,anna,['2962083'],community,Binding
210021,3713450,npm,@whi/stdlog,Custom standard logging wrapper for winston,"winston,logging,unstructured",ISC,https://github.com/webheroesinc/node-stdlog,5,1,,1,38145297,GitHub,webheroesinc/node-stdlog,Custom standard logging wrapper for winston,False,0.0,,,,winston,https://github.com/webheroesinc/node-stdlog,github,winston,winston,['72007'],community,Binding
210024,3713476,npm,@rmosolgo/apollo-cache-inmemory,Core abstract of Caching layer for Apollo Client,,MIT,https://github.com/apollographql/apollo-client,2,1,,0,5415939,GitHub,apollographql/apollo-client,":rocket: A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server",False,12934.0,MIT,,"apollo-client,apollographql,graphql,graphql-client,typescript",Apollo,https://github.com/apollographql/apollo-client,github,apollo,apollo,['15362424'],community,Binding
210037,3713807,npm,@rmosolgo/apollo-cache,Core abstract of Caching layer for Apollo Client,,MIT,https://github.com/apollographql/apollo-client,1,1,,0,5415939,GitHub,apollographql/apollo-client,":rocket: A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server",False,12934.0,MIT,,"apollo-client,apollographql,graphql,graphql-client,typescript",Apollo,https://github.com/apollographql/apollo-client,github,apollo,apollo,['15362424'],community,Binding
210192,3715546,PyPI,frapi,Package for Face Recognition API,,MIT,https://github.com/BIG-CHENG/FaceRec,15,0,,0,38161205,GitHub,BIG-CHENG/FaceRec,Face Recognition System,False,0.0,MIT,,,Face Recognition,http://www.ai.game.tw,ai,face recognition,facerecognition,"['4892618', '21554793', '25451266', '26049636', '30802491', '36926227', '40495864']",community,Binding
210297,3716555,PyPI,nanolib,Python library for working with the NANO cryptocurrency protocol,,CC0-1.0,https://github.com/Matoking/nanolib,4,0,,0,38119499,GitHub,Matoking/nanolib,Python library for working with the NANO cryptocurrency protocol,False,28.0,CC0-1.0,,"nanocurrency,python,python3",NANO,https://github.com/Matoking/nanolib,github,nano,nano,['3204475'],community,Binding
210318,3716741,npm,react-individual-form,Create forms in React quickly and clean. Form library based on Context API with a wide selection of user friendly inputs.,"react,form,forms,context,component,minimalistic,quick,standard",GPL-2.0,https://github.com/frontcraft/react-individual-form,1,0,,0,38176670,GitHub,frontcraft/react-standalone-form,"Simply create a forms, without having to write state management logic on your own.  Form library based on Context API with a wide selection of user friendly inputs.",False,18.0,,,,Context,https://github.com/frontcraft/react-individual-form,github,context,context,['26252700'],community,Binding
210405,3717712,Cargo,libnet-sys,A quick binding of libnet for Rust,,CNRI-Python-GPL-Compatible,https://github.com/Gu1nness/libnet-sys,1,0,,0,38126293,GitHub,Gu1nness/libnet-sys,A quick binding of libnet for Rust,False,0.0,GPL-3.0,,,libnet,https://github.com/Gu1nness/libnet-sys,github,libnet,libnet,['27234959'],community,Binding
210417,3717852,npm,tm-logger,A winston wrapper for use in Tastemade node applications,,ISC,,21,0,,0,,,,,,,,,,winston,,,winston,winston,['72007'],community,Binding
210601,3719864,npm,opencv4nodejs-prebuilt,Asynchronous OpenCV 3.x nodejs bindings with JavaScript and TypeScript API.,"opencv,cv,computer vision,face,detection,recognition,machine,learning,neural,network,async,typescript",MIT,https://github.com/nut-tree/opencv4nodejs,22,1,,1,38188159,GitHub,nut-tree/opencv4nodejs,"Asynchronous OpenCV 3.x nodejs bindings with JavaScript and TypeScript API, with examples for: Face Detection, Machine Learning, Deep Neural Nets, Hand Gesture Recognition, Object Tracking, Feature Matching, Image Histogram",True,0.0,MIT,,,OpenCV,https://github.com/nut-tree/opencv4nodejs,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
210693,3720804,PyPI,opencv-python-inference-engine,Wrapper package for OpenCV 4.1.1 with Inference Engine 2019_R2 python bindings,,"MIT,BSD-3-Clause",https://github.com/banderlog/opencv-python-inference-engine,8,0,,0,38190832,GitHub,banderlog/opencv-python-inference-engine,Wrapper package for OpenCV with Inference Engine python bindings.,False,2.0,MIT,,,OpenCV,https://github.com/banderlog/opencv-python-inference-engine,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
211055,3724187,Maven,com.redislabs:jredisai,Java Client for RedisAI.,,BSD-1-Clause,https://github.com/RedisAI/JRedisAI,1,0,,0,38194805,GitHub,RedisAI/JRedisAI,Java client for RedisAI,False,1.0,BSD-3-Clause,,,RedisAI,https://github.com/RedisAI/JRedisAI,github,redisai,redisai,['13554718'],same_repo_owner,Binding
211446,3727380,npm,thorjs,Thor API JS Library,,ISC,,1,0,,0,,,,,,,,,,Thor,,,thor,thor,['39750588'],community,Binding
211570,3729511,npm,@alaskaairux/orion-web-core-style-sheets,Orion core foundation Sass UI Kit,"alaska airlines,style dictionary,orion design system,css,properties,tokens,sass",Apache-2.0,https://github.com/AlaskaAirlines/OrionWebCoreStyleSheets,55,6,,7,38196658,GitHub,AlaskaAirlines/OrionWebCoreStyleSheets,The core front-end framework for building experiences with the Orion Design System and transition to the Auro Design System.,False,1.0,Apache-2.0,,"css,orion,sass",Orion,https://github.com/AlaskaAirlines/OrionWebCoreStyleSheets,github,orion,orion,['37981235'],community,Binding
211589,3729902,npm,@anna-ui/button,Button component for Anna UI Kit,,MIT,https://gitlab.com/anna-ui/button,4,0,,0,,,,,,,,,,Anna,,,anna,anna,['2962083'],community,Binding
211772,3731983,npm,node-bolt,An API Wrapper for Bolt,,ISC,,2,0,,0,,,,,,,,,,Bolt,,,bolt,bolt,"['19562400', '40784040']",community,Binding
211813,3732477,NuGet,DlibDotNet-ARM,Dlib wrapper library written in C++ and C# for Linux,"machinelearning,.net,dlib",MIT,https://github.com/takuya-takeuchi/DlibDotNet,1,1,,0,28763389,GitHub,takuya-takeuchi/DlibDotNet,"Dlib .NET wrapper written in C++ and C# for Windows, MacOS and Linux",False,213.0,MIT,,"dlib,dotnet,dotnet-core,linux,macos,windows",Dlib,https://github.com/takuya-takeuchi/DlibDotNet,github,dlib,dlib,"['891695', '20356305']",community,Binding
211821,3732520,PyPI,drifter-ml,Testing for models confirming to the scikit-learn api,,MIT,https://github.com/EricSchles/drifter_ml,21,0,,0,38201958,GitHub,EricSchles/drifter_ml,A machine learning testing framework for sklearn and pandas.  The goal is to help folks assess whether things have changed over time.,False,43.0,MIT,,,scikit-learn,https://github.com/EricSchles/drifter_ml,github,scikit learn,scikitlearn,['845049'],community,Binding
211839,3732729,npm,unimodules-face-detector-interface,An interface package for Face Detector,"unimodules,face-detector,face,detection",MIT,https://github.com/expo/expo,9,5,,2262,12678956,GitHub,expo/expo,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",False,8458.0,Other,,"expo,mobile,native,universal,web",Face Detector,https://github.com/expo/expo/tree/master/packages/unimodules-face-detector-interface,github,face detector,facedetector,['39734933'],community,Binding
211866,3733074,PyPI,opencv3,Wrapper package for OpenCV python bindings.,,Apache-2.0,https://github.com/skvark/opencv-python,1,0,,1,8203653,GitHub,skvark/opencv-python,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-contrib-python-headless packages.",False,1066.0,Other,,"manylinux,opencv,opencv-contrib-python,opencv-python,precompiled,pypi,python,python-3,wheel",OpenCV,https://github.com/skvark/opencv-python,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
211869,3733104,PyPI,cv3,Wrapper package for OpenCV python bindings.,,Apache-2.0,https://github.com/skvark/opencv-python,1,0,,0,8203653,GitHub,skvark/opencv-python,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-contrib-python-headless packages.",False,1066.0,Other,,"manylinux,opencv,opencv-contrib-python,opencv-python,precompiled,pypi,python,python-3,wheel",OpenCV,https://github.com/skvark/opencv-python,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
